Begin,Disapear,Text
"00:22:57,817","00:22:59,567
","These defendants had a plan,"
"00:22:59,650","00:23:02,484
",and a plan among two or more people is a conspiracy.
"00:23:03,067","00:23:05,692
",The defendants crossed state lines to execute their plan.
"00:23:05,775","00:23:09,317
","That's why we're in federal court, and the plan was to incite a riot,"
"00:23:09,400","00:23:11,734
",and there's one thing you already know.
"00:23:12,484","00:23:13,567
",They succeeded.
"00:23:13,650","00:23:18,692
",Excuse me. Have we identified the other defendants for the record?
"00:23:19,525","00:23:21,192
",A Mr... Wiener.
"00:23:21,817","00:23:22,650
",Weiner.
"00:23:22,734","00:23:25,234
",Mr. Froines and Mr. Dillinger.
"00:23:25,317","00:23:26,442
","Dellinger, Your Honor."
"00:23:27,192","00:23:28,275
",What's going on here?
"00:23:28,359","00:23:30,734
","Uh, you're referring to the defendant Dellinger."
"00:23:30,817","00:23:34,067
","- Derringer. - Um, it's Dellinger, sir."
"00:23:34,150","00:23:39,275
",Note the prosecution was referring to the defendant Derringer.
"00:23:39,359","00:23:41,900
","- Not Dellinger. - It is Dellinger, Your Honor."
"00:23:41,984","00:23:43,900
",Can we straighten this out?
"00:23:43,984","00:23:47,817
",Sure. Dillinger was a bank robber. Derringer is a gun.
"00:23:47,900","00:23:50,900
","He's David Dellinger, and the judge and I are not related."
"00:23:50,984","00:23:54,484
","Your Honor, I'd like to caution the court that this kind of disruption"
"00:23:54,567","00:23:58,150
",and display of disrespect will be a continuing tactic for defense.
"00:23:58,234","00:24:00,484
","Sir, it's not a tactic. At the moment,"
"00:24:00,567","00:24:03,734
",the defendants are the only ones on record as knowing their own names.
"00:24:03,817","00:24:05,567
","Be seated, Mr. Schultz..."
"00:24:05,650","00:24:07,817
","Uh, Mr. Kunstler."
"00:24:09,859","00:24:12,275
",I object to being characterized as a member of this group.
"00:24:12,359","00:24:14,692
",- Who is your lawyer? - Charles R. Garry.
"00:24:14,775","00:24:16,609
",Is Mr. Garry here today?
"00:24:16,692","00:24:18,067
","- No, he is not. - Your Honor--"
"00:24:18,150","00:24:19,692
",Are you representing Mr. Seale?
"00:24:19,775","00:24:21,525
","- No, sir. - Then, sit."
"00:24:23,484","00:24:26,067
","Mr. Schultz, forgive me."
"00:24:26,609","00:24:28,775
",Have you concluded your opening statement?
"00:24:29,692","00:24:30,817
","Yes, Your Honor."
"00:24:30,900","00:24:33,567
",My lawyer Charles Garry is in a hospital in Oakland
"00:24:33,650","00:24:35,525
",having undergone gallbladder surgery.
"00:24:35,609","00:24:36,775
",Mr. Kunstler.
"00:24:37,484","00:24:39,650
",You are sitting right next to the man.
"00:24:39,734","00:24:42,109
",Just represent him. It's the same case.
"00:24:42,192","00:24:45,025
",The fact that there's a lawyer near Mr. Seale
"00:24:45,109","00:24:47,609
",does not satisfy the requirements of due process.
"00:24:47,692","00:24:48,775
",I have a right--
"00:24:48,859","00:24:53,817
",A motion was made for postponement due to Mr. Garry's medical condition.
"00:24:53,900","00:24:56,609
",I was there. Your Honor denied that motion.
"00:24:56,692","00:24:59,775
","Therefore, Mr. Seale is here without legal representation."
"00:24:59,859","00:25:04,650
","I don't care for your general tone, Mr. Kunstler."
"00:25:04,734","00:25:07,025
",I meant no disrespect to the court.
"00:25:07,109","00:25:11,567
",I'm trying to be clear that I can't muddy Mr. Seale's grounds for appeal
"00:25:11,650","00:25:13,484
",by appearing to speak as his lawyer.
"00:25:13,567","00:25:17,025
","I don't ask you to compromise Mr. Seale's position, sir."
"00:25:17,109","00:25:21,400
",But I will not permit him to address the jury
"00:25:21,484","00:25:23,942
",when his perfectly competent lawyer is sitting--
"00:25:24,025","00:25:26,400
","For the fourth time, he's not Bobby's lawyer."
"00:25:28,817","00:25:31,275
","You're, uh... Mr. Rubin."
"00:25:31,942","00:25:33,025
","Yes, sir."
"00:25:33,109","00:25:34,567
",Don't ever do that again!
"00:25:37,317","00:25:39,150
","Your Honor, I'm not with these guys."
"00:25:39,234","00:25:42,234
",I never met most of them until the indictment.
"00:25:42,317","00:25:44,650
",- We will have order. - There are eight of us here.
"00:25:44,734","00:25:48,692
","There are signs out there that read, ""Free the Chicago 7."" I'm not with them!"
"00:25:48,775","00:25:52,775
","- Mr. Marshal, will you seat Mr. Seale? - Conspiracy? I never met most of them."
"00:25:52,859","00:25:56,484
","Frankly, the US attorney wanted a Negro defendant to scare the jury."
"00:25:56,567","00:25:58,984
",I was thrown in to make the group look scarier.
"00:25:59,067","00:26:01,109
",I came to Chicago. I made a speech!
"00:26:01,192","00:26:02,942
","- Mr. Seale-- - I had a chicken pot pie,"
"00:26:03,025","00:26:05,359
","went to the airport and I flew back to Oakland,"
"00:26:05,442","00:26:06,984
",that's why they call it the Chicago...
"00:26:07,067","00:26:08,900
",Get your hands off me!
"00:26:08,984","00:26:12,817
",Charge Mr. Seale with one count of contempt of court.
"00:26:38,525","00:26:40,192
","We have to make a decision right now,"
"00:26:40,275","00:26:44,317
",a decision I assumed we'd already made four months ago when trial prep began.
"00:26:44,400","00:26:48,650
",Are we using this trial to defend ourselves against very serious charges
"00:26:48,734","00:26:50,484
",that could land us in prison for ten years?
"00:26:51,567","00:26:54,484
","Or to say a pointless ""fuck you"" to the establishment?"
"00:26:54,567","00:26:57,650
",- Fuck you! - That is what I was afraid...
"00:26:58,525","00:27:01,525
","- Were you saying ""fuck you"" or answering-- - I was also confused."
"00:27:01,609","00:27:05,109
","If we leave without saying anything about why we came in the first place,"
"00:27:05,192","00:27:06,275
",it'll be heartbreaking.
"00:27:06,359","00:27:08,692
","If the jury finds us guilty, we're not leaving at all."
"00:27:08,775","00:27:11,359
",The only thing we need to say about why we came here
"00:27:11,442","00:27:13,192
",is it wasn't to incite violence.
"00:27:13,984","00:27:14,984
",I'm with Jerry.
"00:27:16,067","00:27:18,692
",- Why? - The trial shouldn't be about us.
"00:27:18,775","00:27:22,234
","I would love it if it wasn't about us, but it definitely is. John? Lee?"
"00:27:22,859","00:27:24,609
",Does anyone think our judge is crazy?
"00:27:24,692","00:27:27,150
",- He isn't our problem. - Give it time. He will be.
"00:27:27,234","00:27:31,150
","I'm talking about us. Abbie, you cannot talk back to the judge."
"00:27:31,234","00:27:34,567
","- And, Jerry... Jesus! - Did you get a haircut just for court?"
"00:27:35,984","00:27:38,900
",- I did. - A haircut for the judge. That is...
"00:27:39,650","00:27:41,984
",I can't even. That is...
"00:27:42,067","00:27:43,734
",That is so foreign to me.
"00:27:43,817","00:27:45,317
",- So is soap. - Zing.
"00:27:45,400","00:27:48,567
",Let me explain something. It took you two less than five minutes
"00:27:48,650","00:27:52,400
",to make us look exactly like what Schultz is trying to make us look like.
"00:27:52,484","00:27:54,609
",I don't have a problem with what we look like.
"00:27:54,692","00:27:57,275
","Jerry likes what we look like. Uh, John?"
"00:27:57,359","00:27:58,442
",- Lee? - Yeah.
"00:27:58,525","00:28:02,109
",- I feel like I'm ten pounds too heavy. - I don't like it when we fight.
"00:28:02,192","00:28:03,984
",- Rennie? - Tom should be heard.
"00:28:04,067","00:28:05,067
",And he was.
"00:28:05,609","00:28:10,109
","When we walked in here, they were chanting that the whole world is watching."
"00:28:10,192","00:28:11,900
",This is it. We're on.
"00:28:11,984","00:28:16,150
",This is what revolution looks like. Real revolution. Cultural revolution.
"00:28:16,234","00:28:17,775
",Why did you come here?
"00:28:17,859","00:28:19,775
",I got an invitation from a grand jury.
"00:28:19,859","00:28:21,900
",Last summer. Why did you come to the convention?
"00:28:22,900","00:28:24,400
",To end the war.
"00:28:24,484","00:28:26,734
","Guys, before you tether yourselves to this man,"
"00:28:26,817","00:28:30,234
",just know the very last thing he wants is for the war to end.
"00:28:30,317","00:28:35,317
",I don't have time for cultural revolution. It distracts from actual revolution.
"00:28:35,400","00:28:37,234
","All right, all right, all right."
"00:28:37,317","00:28:39,234
",But you got time for a haircut.
"00:28:39,317","00:28:41,234
",Has everybody got everything off their chest?
"00:28:41,817","00:28:44,400
",- What in the name of hell was that? - Evidently not.
"00:28:44,484","00:28:45,942
",You spoke for Bobby.
"00:28:46,025","00:28:48,442
",I made it very clear that I'm not his lawyer.
"00:28:48,525","00:28:50,845
",- I'd like to sit in on these meetings. - You can't.
"00:28:50,900","00:28:52,609
",- I think I will anyway. - Fred--
"00:28:52,692","00:28:54,942
",Bobby's life is at stake. You're playing to the crowd.
"00:28:55,025","00:28:56,734
",- Thank you. - Shut up.
"00:28:56,817","00:29:00,525
",White guys sitting in a furnished room eating sandwiches while Bobby's in a cell.
"00:29:00,609","00:29:02,775
",White guys are free on bail. Bobby's locked up
"00:29:02,859","00:29:05,650
",because he's under arrest in Connecticut for killing a cop.
"00:29:05,734","00:29:08,609
",It's not like he refused to give up his seat on a bus.
"00:29:08,692","00:29:12,442
","Convince him to let Bill and me represent him, just for today, at least."
"00:29:12,525","00:29:13,984
",- The judge is-- - Fucking nuts.
"00:29:14,067","00:29:17,275
",A little hostile. I'm sure Garry didn't anticipate that.
"00:29:19,359","00:29:20,567
",He's innocent in Connecticut.
"00:29:20,650","00:29:22,525
",- All right. - He's never killed anyone.
"00:29:22,609","00:29:24,984
",- It's important that you all know that. - Okay.
"00:29:25,067","00:29:28,150
","All right, you gotta try to convince him."
"00:29:30,025","00:29:31,025
",I can't.
"00:29:31,400","00:29:33,567
","- Well, try. - I have!"
"00:29:34,234","00:29:35,692
","Well, keep trying, all right?"
"00:29:37,109","00:29:38,150
",We're back.
"00:29:38,817","00:29:39,817
",Let's go.
"00:29:40,359","00:29:43,650
","Jerry, Abbie, unless you're asked a direct question,"
"00:29:43,734","00:29:46,192
",I want you to keep your mouths shut in that room.
"00:29:46,275","00:29:48,275
",- This is a political trial. - What?
"00:29:48,359","00:29:51,859
",This is a political trial that was already decided for us.
"00:29:52,400","00:29:55,067
",Ignoring that reality is just weird to me.
"00:29:55,150","00:29:58,359
",There are civil trials and there are criminal trials.
"00:29:58,442","00:30:00,650
",There's no such thing as a political trial.
"00:30:00,734","00:30:01,817
",Okay.
"00:30:18,400","00:30:20,275
",Abbie's smarter than you think he is.
"00:30:22,275","00:30:24,317
",Cows are smarter than I think he is.
"00:30:26,275","00:30:29,025
",- S-T-A-H-L. - What is your occupation?
"00:30:29,109","00:30:30,859
",I am the mayor's administrative officer.
"00:30:30,942","00:30:36,775
","Calling your attention to March 26, 1968. Did you have a meeting on that day?"
"00:30:36,859","00:30:38,484
","- Yes. - Uh, with whom?"
"00:30:38,567","00:30:41,859
","- Mr. Hoffman and Mr. Rubin, is it? - Abbie and Jerry is fine."
"00:30:41,942","00:30:43,359
",What was said at that meeting?
"00:30:43,442","00:30:47,317
",I was told the Youth International Party would be holding a festival of life
"00:30:47,400","00:30:49,734
",during the Democratic National Convention.
"00:30:49,817","00:30:52,150
",There would be thousands of young people attending
"00:30:52,234","00:30:54,275
",and there'd be rock bands playing in the park.
"00:30:54,359","00:30:55,650
",Music will be performed.
"00:30:55,734","00:30:57,650
",- Rock music? - I would think.
"00:30:57,734","00:31:00,317
",They also said there would be public fornication.
"00:31:00,400","00:31:01,567
","Say that again, sir?"
"00:31:01,650","00:31:03,109
",Public fornication.
"00:31:03,192","00:31:05,692
",You're asking for a Parks permit for public--
"00:31:05,775","00:31:07,025
",- Yeah. - And rock music.
"00:31:07,109","00:31:08,025
","No, of course not."
"00:31:08,109","00:31:09,234
",What if it was R&B?
"00:31:09,317","00:31:12,109
","- Did you issue the permits? - No, I did not."
"00:31:12,692","00:31:17,567
","And what, if anything, did Abbie Hoffman say when you denied their request?"
"00:31:17,650","00:31:19,942
","Mr. Stahl, you need to understand something."
"00:31:20,025","00:31:24,609
",There's gonna be a festival of life in Grant Park held during the convention.
"00:31:24,692","00:31:28,442
",Bands will play rock music. There will be public fornication.
"00:31:28,525","00:31:31,275
",Likely some of it with the wives and mistresses of delegates.
"00:31:31,359","00:31:35,150
","Psychedelic, long-haired leftists will consort with dope users."
"00:31:35,734","00:31:38,359
",And we'll insist that the next president of the US
"00:31:38,442","00:31:40,609
",stops sending our friends to be slaughtered.
"00:31:40,692","00:31:43,109
",This will happen whether you give us the permit or not.
"00:31:43,192","00:31:45,775
",Hotels will be filled with delegates. Where will people sleep?
"00:31:45,859","00:31:48,525
","Some will sleep in tents, others will live frivolously."
"00:31:48,609","00:31:50,567
",- How many people are coming? - A lot.
"00:31:50,650","00:31:53,942
",What's a lot? A thousand? Two thousand?
"00:31:54,025","00:31:55,025
",Ten thousand.
"00:31:55,109","00:31:57,234
",- Jesus Christ. - Right?
"00:31:58,025","00:32:01,150
",Did Abbie Hoffman add anything at the end of the meeting?
"00:32:01,234","00:32:02,234
",Yes.
"00:32:02,275","00:32:04,067
",- What did he say? - He said...
"00:32:04,150","00:32:06,984
",Or you give me 100 grand and I could call the whole thing off.
"00:32:07,067","00:32:08,109
",Thank you.
"00:32:09,609","00:32:11,109
",Mr. Fineglass.
"00:32:11,192","00:32:12,984
","Uh, Weinglass, sir."
"00:32:14,400","00:32:18,484
","Mr. Stahl, the meeting you just described with Mr. Hoffman and Mr. Rubin,"
"00:32:18,567","00:32:21,734
",was that the only meeting you had with any of the defendants?
"00:32:21,817","00:32:22,817
",No.
"00:32:22,859","00:32:26,525
","On August 2nd, you had a meeting with Tom Hayden and Rennie Davis."
"00:32:26,609","00:32:29,109
",- Tom Hayden. - Rennie Davis.
"00:32:29,192","00:32:31,942
","On August 12th, you had a meeting with David Dellinger."
"00:32:32,484","00:32:34,400
",I'll tell you the same thing I told the others.
"00:32:34,484","00:32:37,025
",There were two more meetings with Tom and Rennie
"00:32:37,109","00:32:39,317
","on the 10th and 12th of August,"
"00:32:39,400","00:32:43,025
",and one more meeting with David Dellinger on the 26th.
"00:32:43,109","00:32:44,275
",I can't be sure of the dates.
"00:32:44,359","00:32:47,609
","Well, I can be sure. They're recorded in the log at City Hall."
"00:32:47,692","00:32:48,692
",Okay...
"00:32:48,734","00:32:52,817
","And in each of the meetings, a request was made for a permit"
"00:32:52,900","00:32:55,692
",to demonstrate in Grant Park during the convention.
"00:32:55,775","00:32:58,942
","Mr. Stahl, we intend a peaceful demonstration."
"00:32:59,025","00:33:02,025
",We're not interested in violence or disturbing the delegates.
"00:33:02,109","00:33:05,942
","And in each of the meetings, the request for permits was denied."
"00:33:06,025","00:33:08,900
","Listen, I'll tell you the same thing I told Mr. Hoffman"
"00:33:08,984","00:33:10,775
",and Mr. Rubin and Mr. Dellinger.
"00:33:10,859","00:33:13,067
",No demonstrations within sight of the Hilton.
"00:33:13,150","00:33:16,025
",We have to demonstrate there. That's where the convention is.
"00:33:16,109","00:33:18,734
",There will be no demonstrations within sight of the Hilton.
"00:33:18,817","00:33:21,067
","Okay. But the thing is, there will be."
"00:33:21,984","00:33:24,275
","- Are you threatening me, Mr. Hayden? - No."
"00:33:24,359","00:33:26,817
",We're not threatening you. We're cautioning you.
"00:33:26,900","00:33:28,734
",Thousands of people are coming to Chicago.
"00:33:28,817","00:33:30,817
","If they're not given a place to demonstrate,"
"00:33:30,900","00:33:32,817
",they'll demonstrate wherever they stand.
"00:33:32,900","00:33:35,025
","So it's reckless, irresponsible,"
"00:33:35,109","00:33:38,150
",and foolishly dangerous of the city not to have a contingency plan.
"00:33:38,234","00:33:40,650
","We're gonna need police security, first aid..."
"00:33:40,734","00:33:42,442
","- Traffic control. - Water, sanitation."
"00:33:42,525","00:33:47,109
","So, five times, you were asked for a permit."
"00:33:47,192","00:33:50,109
","Five times, you were advised of the dangers"
"00:33:50,192","00:33:52,650
",of not providing a location to demonstrate--
"00:33:52,734","00:33:55,025
",I don't take my instructions from the defendants.
"00:33:55,109","00:33:56,469
","- No, you don't. - I don't."
"00:33:56,525","00:33:58,067
",You take them from Mayor Daley.
"00:33:59,484","00:34:02,109
",You're appointed by the mayor and you serve at his pleasure?
"00:34:02,192","00:34:03,025
",Yes.
"00:34:03,109","00:34:06,234
",And you're subject to removal in the same manner by the mayor?
"00:34:06,817","00:34:08,817
",- Yes. - Thank you.
"00:34:08,900","00:34:11,775
","Further cross-examination, Mr. Kunstler."
"00:34:11,859","00:34:14,400
","Yes, sir. Mr. Stahl. When Abbie--"
"00:34:14,484","00:34:15,650
",Excuse me.
"00:34:15,734","00:34:20,359
","Mr. Seale, would you identify the man sitting behind you?"
"00:34:21,359","00:34:22,859
","- No, sir. - No?"
"00:34:22,942","00:34:24,109
",- That's right. - Why not?
"00:34:24,192","00:34:25,859
",He's not on trial here.
"00:34:25,942","00:34:31,109
","Mr. Seale, identify the man behind you."
"00:34:35,192","00:34:36,275
",His name is Fred Hampton.
"00:34:36,359","00:34:37,859
",Let the record indicate
"00:34:37,942","00:34:42,025
",that Mr. Hampton is head of the Chicago chapter of the Black Panther Party.
"00:34:42,109","00:34:46,275
","Your Honor, Mr. Hampton isn't at the bar. Why is the record identifying him at all?"
"00:34:46,359","00:34:49,609
",Mr. Hampton is clearly giving Mr. Seale legal advice.
"00:34:49,692","00:34:51,942
",My lawyer is Charles Garry.
"00:34:52,025","00:34:53,567
","Excuse me, sir, but for all you know,"
"00:34:53,650","00:34:56,609
",Mr. Hampton is giving Mr. Seale the score of the White Sox game.
"00:34:56,692","00:34:58,984
",- I will assume that he is not. - Why?
"00:34:59,067","00:35:02,942
",Because that's what happens when you don't have a lawyer.
"00:35:03,025","00:35:06,400
",The court assumes that you are being represented
"00:35:06,484","00:35:09,484
",by the Black Panther sitting behind you.
"00:35:12,775","00:35:13,775
",Continue.
"00:35:14,400","00:35:19,317
","Mr. Stahl, when Abbie offered to call the whole thing off for $100,000,"
"00:35:19,400","00:35:23,692
",did you think that he was serious or did you think he was making a joke?
"00:35:23,775","00:35:26,609
",I had no reason not to think he was serious.
"00:35:26,692","00:35:29,317
",- Really? Do you know what extortion is? - Yes.
"00:35:29,400","00:35:30,984
",- Do you know it's a felony? - Yes.
"00:35:31,067","00:35:33,109
","Okay. So, when you called the FBI"
"00:35:33,192","00:35:36,900
","and told 'em about Mr. Hoffman's attempt to extort a government employee,"
"00:35:36,984","00:35:38,942
",- what'd they say? - I didn't call the FBI.
"00:35:39,025","00:35:42,109
","Sorry. When you called the US attorney and reported attempted extortion,"
"00:35:42,192","00:35:44,525
",- what'd their office say? - I didn't call the US att--
"00:35:44,609","00:35:47,025
","- Cooke County DA. Did you call them? - No, sir."
"00:35:47,109","00:35:48,984
",- The chief of police? - Mr. Kunstler--
"00:35:49,067","00:35:51,609
",The police officer posted outside the mayor's office?
"00:35:51,692","00:35:55,067
","How about the mayor? Mr. Stahl, I'm gonna ask you again."
"00:35:55,650","00:36:01,442
","When Abbie Hoffman asked for $100,000 to call the whole thing off,"
"00:36:01,525","00:36:05,984
",did you think that he was serious or did you know that he was making a joke?
"00:36:06,067","00:36:08,942
",I had no reason not to believe he was serious.
"00:36:09,025","00:36:12,317
","Then, along with extortion, did you know that perjury is a crime?"
"00:36:12,400","00:36:14,692
","- Objection. - Sustained, and strike it."
"00:36:14,775","00:36:15,692
","In fact,"
"00:36:15,775","00:36:19,859
","strike the entirety of Mr. Stahl's testimony under cross-examination,"
"00:36:19,942","00:36:22,734
",and the jury is instructed to disregard it.
"00:36:22,817","00:36:25,775
",You're gonna strike the entire cross-examination?
"00:36:25,859","00:36:28,650
",I gave you and co-counsel Fineglass ample--
"00:36:28,734","00:36:30,650
",Co-counsel's name is Weinglass.
"00:36:30,734","00:36:34,109
",Mr. Stahl's testimony under cross-examination is entirely--
"00:36:34,192","00:36:36,817
","You are interrupting the court again, Mr. Kunstler."
"00:36:36,900","00:36:38,734
",Move to reinstate testimony.
"00:36:38,817","00:36:40,025
",Overruled.
"00:36:45,192","00:36:47,150
",- Overruled. - Exception.
"00:36:47,234","00:36:49,900
",Noted. Are there any further questions?
"00:36:50,525","00:36:53,692
","Yes. So, Mr. Stahl, in any of these meetings,"
"00:36:53,775","00:36:57,359
","did any of the defendants say that if you didn't grant them permits,"
"00:36:57,442","00:36:59,942
",that they would do violent acts to the city?
"00:37:00,025","00:37:05,484
","Yes, they said the Parks permit should be issued in order to minimize destruction."
"00:37:05,567","00:37:08,317
",Did they indicate from whom this destruction would come?
"00:37:09,025","00:37:12,025
","The destruction did not come from the Chicago Police Department,"
"00:37:12,109","00:37:13,859
",if that's what you're suggesting.
"00:37:15,192","00:37:16,400
",No further questions.
"00:37:17,650","00:37:19,734
","I'd like to cross-examine the witness, Your Honor."
"00:37:19,817","00:37:21,567
",- You may not. - Have you met me?
"00:37:21,650","00:37:22,817
","Sit, Mr. Seale."
"00:37:28,775","00:37:30,484
",Are you guilty of conspiracy?
"00:37:30,567","00:37:32,609
",We believe that we are innocent.
"00:37:32,692","00:37:36,400
",The people who are guilty of conspiracy are the fuckers who put us on trial.
"00:37:36,484","00:37:40,025
",They are responsible for the bloodshed that flowed in the streets of Chicago.
"00:37:40,109","00:37:42,525
",Why won't Bobby Seale let anyone represent him?
"00:37:42,609","00:37:44,984
",You've posed that question in the form of a lie.
"00:37:53,484","00:37:55,400
",Conspiracy Office. Can you hold on?
"00:37:57,900","00:37:59,942
",Conspiracy Office. Can you hold on?
"00:38:05,775","00:38:07,734
",Conspiracy Office. Can you hold on?
"00:38:07,817","00:38:11,317
","Maybe you don't want to call it the, uh, Conspiracy Office."
"00:38:11,400","00:38:13,400
",They understand irony and appreciate the humor.
"00:38:13,484","00:38:16,067
","- I wouldn't count on it. - Most people are smart, Bill."
"00:38:16,150","00:38:19,567
","If you believe that, you'll get your heart broken every day of your life."
"00:38:19,650","00:38:23,067
","Hang on. Hi, how can I help you?"
"00:38:23,150","00:38:23,984
",Messages?
"00:38:24,067","00:38:27,317
",We sure do take contributions. We've got high-priced lawyers.
"00:38:27,400","00:38:29,109
",High-priced lawyers are working for free.
"00:38:29,192","00:38:31,192
",- It's the support staff. - We can't take grass.
"00:38:31,275","00:38:32,442
",- Hey! - Yeah.
"00:38:32,525","00:38:34,692
",- Abbie says we'll take the weed. - Messages?
"00:38:34,775","00:38:37,067
",Let me give you our mailing address.
"00:38:37,150","00:38:38,942
","We are in Hyde Park,"
"00:38:39,025","00:38:43,692
","28 East Jackson Street, Chicago, Illinois. 60604..."
"00:38:45,359","00:38:48,150
",I don't want you guys holding any more press conferences.
"00:38:48,234","00:38:51,942
","If you're gonna get between Abbie and a camera, I'd wear pads and a helmet."
"00:38:52,025","00:38:54,525
","We had a good day, Len. Tell him we had a good day."
"00:38:54,609","00:38:55,442
",Six and eleven.
"00:38:55,525","00:38:56,734
",What does that mean?
"00:38:56,817","00:39:00,067
",- Jurors six and eleven. They're with us. - How do you know?
"00:39:00,150","00:39:03,817
","Six made sure I saw a copy of a James Baldwin novel under her arm,"
"00:39:03,900","00:39:06,359
",and eleven's been nodding during the Stahl cross.
"00:39:06,442","00:39:07,692
",Falling asleep?
"00:39:07,775","00:39:09,567
",Nodding. Agreeing.
"00:39:10,150","00:39:11,775
",No more press conferences.
"00:39:13,859","00:39:16,067
",You posed that question in the form of a lie.
"00:39:16,150","00:39:19,525
",Bobby Seale's lawyer is Charles Garry. He's in the hospital right now.
"00:39:19,609","00:39:22,275
",A motion was made for postponement and it was denied.
"00:39:22,359","00:39:24,734
","Would you have taken $100,000 to call it off?"
"00:39:24,817","00:39:27,900
","Yeah, sure. I would have taken $100,000."
"00:39:27,984","00:39:29,525
",As for calling it off...
"00:39:29,609","00:39:31,890
",How much is it worth to you? What's your price?
"00:39:31,942","00:39:33,359
",To call off the revolution?
"00:39:35,317","00:39:36,650
",What's your price?
"00:39:38,567","00:39:39,567
",My life.
"00:40:15,234","00:40:16,942
",Any idea what's going on?
"00:40:18,442","00:40:21,317
",It's been years since I've had any idea what was going on.
"00:40:30,692","00:40:32,817
",I'm going to adjourn the court for the day
"00:40:32,900","00:40:35,567
",and see counsel in my chambers in 15 minutes.
"00:40:35,650","00:40:36,900
",All rise.
"00:40:42,400","00:40:44,692
","Gentlemen, it's been brought to my attention"
"00:40:44,775","00:40:46,817
",that two jurors received threatening notes
"00:40:46,900","00:40:49,859
",from a member or members of the Black Panther Party.
"00:40:49,942","00:40:50,942
",Which two jurors?
"00:40:50,984","00:40:53,400
",Juror number six and juror number eleven.
"00:40:54,692","00:40:57,734
",These were slipped into the mail at the homes of their parents.
"00:41:00,275","00:41:01,525
",Bring in juror six.
"00:41:02,775","00:41:03,775
",Six and eleven?
"00:41:05,275","00:41:07,317
","- Yes. - Judge, I wonder if we could draw--"
"00:41:07,400","00:41:08,900
","Juror number six, how are you?"
"00:41:09,692","00:41:10,692
",I'm fine.
"00:41:10,775","00:41:12,359
",- Before we talk-- - Please.
"00:41:12,442","00:41:15,192
",Your parents received this note this morning in their mail.
"00:41:15,275","00:41:17,692
","They called the police, as they should have done."
"00:41:17,775","00:41:20,275
",I'd like you to take the note and read it out loud.
"00:41:20,984","00:41:21,817
",My parents?
"00:41:21,900","00:41:24,192
","- Your Honor, before she-- - Please read the note."
"00:41:27,234","00:41:28,400
","""We're watching you."""
"00:41:29,150","00:41:31,025
",And you see who signed it?
"00:41:32,192","00:41:34,275
","""The Panthers."""
"00:41:34,359","00:41:37,109
","You understand that to mean the Black Panthers, don't you?"
"00:41:38,067","00:41:41,234
",You understand defendant Bobby Seale is the head of the Black Panthers.
"00:41:41,317","00:41:44,234
","- Judge, you can't-- - He's chairman of the Black Panther Party."
"00:41:44,317","00:41:48,484
",Do you still feel that you can render a fair and impartial verdict?
"00:41:57,317","00:42:00,567
","Juror number six, your family has been threatened"
"00:42:00,650","00:42:02,067
",and so have you...
"00:42:02,984","00:42:06,817
",by members of an organization that is led by one of the defendants.
"00:42:07,400","00:42:09,734
","Judge, for the love of Christ, she..."
"00:42:12,442","00:42:15,025
","- I apologize, Your Honor. - I would think so."
"00:42:15,650","00:42:19,067
",Do you still feel you can render a fair and impartial verdict?
"00:42:22,484","00:42:23,525
","No, sir."
"00:42:24,234","00:42:27,192
",You're dismissed from this jury. Thank you for your service.
"00:42:28,150","00:42:29,734
",Please bring in juror number eleven.
"00:42:29,817","00:42:32,192
",- I'm sorry. - Keep reading James Baldwin.
"00:42:40,067","00:42:42,984
","Bill, I thought the Panthers were smarter than that."
"00:42:43,067","00:42:44,234
",- They are. - Well--
"00:42:44,317","00:42:47,192
",The Panthers don't write letters any more than the Mob does.
"00:42:47,275","00:42:49,942
","The moment I find out that it was your office that did,"
"00:42:50,025","00:42:53,609
",you'll see the criminal justice system up closer than you ever wanted to.
"00:43:07,109","00:43:09,942
",- Who are the alternates? - We're gonna make this public.
"00:43:10,025","00:43:11,525
",- Help yourself. - Who are they?
"00:43:11,609","00:43:14,442
",Somebody other than the FBI has to investigate that letter.
"00:43:14,525","00:43:16,650
",Who'd you have in mind? Jefferson Airplane?
"00:43:17,234","00:43:19,234
",- The FBI investigates. - This is bullshit.
"00:43:19,317","00:43:20,525
",Who are the alternates?
"00:43:20,609","00:43:22,329
",- Fucking bullshit. - Clean up the language.
"00:43:22,359","00:43:25,150
",Kay Richards. 42-year-old dental hygienist.
"00:43:25,234","00:43:26,442
",That doesn't sound bad.
"00:43:26,525","00:43:30,567
","We think she's dating a guy named Tom Banachek, who works for Daley."
"00:43:33,192","00:43:35,942
",- We were out of peremptory challenges. - How did this happen?
"00:43:36,025","00:43:38,900
",It's either her or that Korean War vet
"00:43:38,984","00:43:41,650
",who kicked his son out of the house for protesting the Vietnam.
"00:43:41,734","00:43:43,609
",You don't have to be Clarence Darrow...
"00:43:43,692","00:43:47,650
",Did they manipulate the jury pool? How come there's nobody who looks like me?
"00:43:47,734","00:43:52,067
","All right, raise your hands if any of you have ever shown up for jury duty."
"00:43:52,650","00:43:54,859
",No? Then shut the fuck up.
"00:43:54,942","00:43:56,317
",- Bill... - Yeah?
"00:43:56,400","00:43:57,400
",What?
"00:43:58,650","00:43:59,900
",He's sequestering the jury.
